sentence,word,tag
3,CERTIFICATE,O
3,OF,O
3,INCORPORATION,O
3,OF,O
3,A,O
3,PRIVATE,B-TYPE
3,LIMITED,I-TYPE
3,COMPANY,I-TYPE
3,Company,O
3,Number,O
3,68320,B-NUM
3,The,O
3,Registrar,O
3,of,O
3,Companies,O
3,for,O
3,England,O
3,and,O
3,Wales,O
3,",",O
3,hereby,O
3,centifies,O
3,that,O
3,71,B-ORG
3,REDCLIFFE,I-ORG
3,GARDENS,I-ORG
3,LIMITED,I-ORG
3,is,O
3,this,O
3,day,O
3,incorporated,O
3,under,O
3,the,O
3,Companies,O
3,Act,O
3,2006,O
3,as,O
3,a,O
3,private,O
3,company,O
3,", ",O
3,that,O
3,the,O
3,company,O
3,is,O
3,limited,O
3,by,O
3, shares,O
3,", ",O
3,and,O
3,the,O
3,situation,O
3,of,O
3,its,O
3,registered,O
3,office,O
3,is,O
3,in,O
3,England,O
3,and,O
3,Wales,O
3,.,O
3,Given,O
3,at,O
3,Companies,O
3,House,O
3,", ",O
3,Cardiff,O
3,", ",O
3,on,O
3,19th,B-DATE
3,April,I-DATE
3,2000,I-DATE
3,The,O
3,above,O
3,information,O
3,wav,O
3,communicated,O
3,by,O
3,electnvnic,O
3,means,O
3,and,O
3,authenticated,O
3,by,O
3,the,O
3,Hegistrar,O
3,of,O
3,Companies,O
3,under,O
3,section,O
3,1115,O
3,of,O
3,the,O
3,Companies,O
3,Act,O
3,2006,O
3,AND,O
3,Companies,O
3,House,O
3,THE,O
3,OFFICIAL,O
3,SEAL,O
3,OF,O
3,THE,O
3,REGISTRAR,O
3,OF,O
3,COMPANIES,O
4,CERTIFICATE,O
4,OF,O
4,INCORPORATION,O
4,OF,O
4,A,O
4,PRIVATE,B-TYPE
4,LIMITED,I-TYPE
4,COMPANY,I-TYPE
4,Company,O
4,Number,O
4,43330,B-NUM
4,The,O
4,Registrar,O
4,of,O
4,Companies,O
4,for,O
4,England,O
4,and,O
4,Wales,O
4,",",O
4,hereby,O
4,centifies,O
4,that,O
4,A,B-ORG
4,BROSCOMBE,I-ORG
4,FLOORING,I-ORG
4,LIMITED,I-ORG
4,is,O
4,this,O
4,day,O
4,incorporated,O
4,under,O
4,the,O
4,Companies,O
4,Act,O
4,2006,O
4,as,O
4,a,O
4,private,O
4,company,O
4,", ",O
4,that,O
4,the,O
4,company,O
4,is,O
4,limited,O
4,by,O
4, shares,O
4,", ",O
4,and,O
4,the,O
4,situation,O
4,of,O
4,its,O
4,registered,O
4,office,O
4,is,O
4,in,O
4,England,O
4,and,O
4,Wales,O
4,.,O
4,Given,O
4,at,O
4,Companies,O
4,House,O
4,", ",O
4,Cardiff,O
4,", ",O
4,on,O
4,26th,B-DATE
4,June,I-DATE
4,2007,I-DATE
4,The,O
4,above,O
4,information,O
4,wav,O
4,communicated,O
4,by,O
4,electnvnic,O
4,means,O
4,and,O
4,authenticated,O
4,by,O
4,the,O
4,Hegistrar,O
4,of,O
4,Companies,O
4,under,O
4,section,O
4,1115,O
4,of,O
4,the,O
4,Companies,O
4,Act,O
4,2006,O
4,AND,O
4,Companies,O
4,House,O
4,THE,O
4,OFFICIAL,O
4,SEAL,O
4,OF,O
4,THE,O
4,REGISTRAR,O
4,OF,O
4,COMPANIES,O
5,CERTIFICATE,O
5,OF,O
5,INCORPORATION,O
5,OF,O
5,A,O
5,PRIVATE,B-TYPE
5,LIMITED,I-TYPE
5,COMPANY,I-TYPE
5,Company,O
5,Number,O
5,56302,B-NUM
5,The,O
5,Registrar,O
5,of,O
5,Companies,O
5,for,O
5,England,O
5,and,O
5,Wales,O
5,",",O
5,hereby,O
5,centifies,O
5,that,O
5,A&SH,B-ORG
5,LTD,I-ORG
5,is,O
5,this,O
5,day,O
5,incorporated,O
5,under,O
5,the,O
5,Companies,O
5,Act,O
5,2006,O
5,as,O
5,a,O
5,private,O
5,company,O
5,", ",O
5,that,O
5,the,O
5,company,O
5,is,O
5,limited,O
5,by,O
5, shares,O
5,", ",O
5,and,O
5,the,O
5,situation,O
5,of,O
5,its,O
5,registered,O
5,office,O
5,is,O
5,in,O
5,England,O
5,and,O
5,Wales,O
5,.,O
5,Given,O
5,at,O
5,Companies,O
5,House,O
5,", ",O
5,Cardiff,O
5,", ",O
5,on,O
5,28th,B-DATE
5,February,I-DATE
5,2014,I-DATE
5,The,O
5,above,O
5,information,O
5,wav,O
5,communicated,O
5,by,O
5,electnvnic,O
5,means,O
5,and,O
5,authenticated,O
5,by,O
5,the,O
5,Hegistrar,O
5,of,O
5,Companies,O
5,under,O
5,section,O
5,1115,O
5,of,O
5,the,O
5,Companies,O
5,Act,O
5,2006,O
5,AND,O
5,Companies,O
5,House,O
5,THE,O
5,OFFICIAL,O
5,SEAL,O
5,OF,O
5,THE,O
5,REGISTRAR,O
5,OF,O
5,COMPANIES,O
6,CERTIFICATE,O
6,OF,O
6,INCORPORATION,O
6,OF,O
6,A,O
6,PRIVATE,B-TYPE
6,LIMITED,I-TYPE
6,COMPANY,I-TYPE
6,Company,O
6,Number,O
6,96090,B-NUM
6,The,O
6,Registrar,O
6,of,O
6,Companies,O
6,for,O
6,England,O
6,and,O
6,Wales,O
6,",",O
6,hereby,O
6,centifies,O
6,that,O
6,AABCO,B-ORG
6,HYDRAULICS,I-ORG
6,LIMITED,I-ORG
6,is,O
6,this,O
6,day,O
6,incorporated,O
6,under,O
6,the,O
6,Companies,O
6,Act,O
6,2006,O
6,as,O
6,a,O
6,private,O
6,company,O
6,", ",O
6,that,O
6,the,O
6,company,O
6,is,O
6,limited,O
6,by,O
6, shares,O
6,", ",O
6,and,O
6,the,O
6,situation,O
6,of,O
6,its,O
6,registered,O
6,office,O
6,is,O
6,in,O
6,England,O
6,and,O
6,Wales,O
6,.,O
6,Given,O
6,at,O
6,Companies,O
6,House,O
6,", ",O
6,Cardiff,O
6,", ",O
6,on,O
6,25th,B-DATE
6,March,I-DATE
6,2003,I-DATE
6,The,O
6,above,O
6,information,O
6,wav,O
6,communicated,O
6,by,O
6,electnvnic,O
6,means,O
6,and,O
6,authenticated,O
6,by,O
6,the,O
6,Hegistrar,O
6,of,O
6,Companies,O
6,under,O
6,section,O
6,1115,O
6,of,O
6,the,O
6,Companies,O
6,Act,O
6,2006,O
6,AND,O
6,Companies,O
6,House,O
6,THE,O
6,OFFICIAL,O
6,SEAL,O
6,OF,O
6,THE,O
6,REGISTRAR,O
6,OF,O
6,COMPANIES,O
7,CERTIFICATE,O
7,OF,O
7,INCORPORATION,O
7,OF,O
7,A,O
7,PRIVATE,B-TYPE
7,LIMITED,I-TYPE
7,COMPANY,I-TYPE
7,Company,O
7,Number,O
7,49320,B-NUM
7,The,O
7,Registrar,O
7,of,O
7,Companies,O
7,for,O
7,England,O
7,and,O
7,Wales,O
7,",",O
7,hereby,O
7,centifies,O
7,that,O
7,ABITOY,B-ORG
7,COMPANY,I-ORG
7,LIMITED,I-ORG
7,is,O
7,this,O
7,day,O
7,incorporated,O
7,under,O
7,the,O
7,Companies,O
7,Act,O
7,2006,O
7,as,O
7,a,O
7,private,O
7,company,O
7,", ",O
7,that,O
7,the,O
7,company,O
7,is,O
7,limited,O
7,by,O
7, shares,O
7,", ",O
7,and,O
7,the,O
7,situation,O
7,of,O
7,its,O
7,registered,O
7,office,O
7,is,O
7,in,O
7,England,O
7,and,O
7,Wales,O
7,.,O
7,Given,O
7,at,O
7,Companies,O
7,House,O
7,", ",O
7,Cardiff,O
7,", ",O
7,on,O
7,8th,B-DATE
7,October,I-DATE
7,2015,I-DATE
7,The,O
7,above,O
7,information,O
7,wav,O
7,communicated,O
7,by,O
7,electnvnic,O
7,means,O
7,and,O
7,authenticated,O
7,by,O
7,the,O
7,Hegistrar,O
7,of,O
7,Companies,O
7,under,O
7,section,O
7,1115,O
7,of,O
7,the,O
7,Companies,O
7,Act,O
7,2006,O
7,AND,O
7,Companies,O
7,House,O
7,THE,O
7,OFFICIAL,O
7,SEAL,O
7,OF,O
7,THE,O
7,REGISTRAR,O
7,OF,O
7,COMPANIES,O
8,CERTIFICATE,O
8,OF,O
8,INCORPORATION,O
8,OF,O
8,A,O
8,PRIVATE,B-TYPE
8,LIMITED,I-TYPE
8,COMPANY,I-TYPE
8,Company,O
8,Number,O
8,45200,B-NUM
8,The,O
8,Registrar,O
8,of,O
8,Companies,O
8,for,O
8,England,O
8,and,O
8,Wales,O
8,",",O
8,hereby,O
8,centifies,O
8,that,O
8,ACE,B-ORG
8,16,I-ORG
8,LIMITED,I-ORG
8,is,O
8,this,O
8,day,O
8,incorporated,O
8,under,O
8,the,O
8,Companies,O
8,Act,O
8,2006,O
8,as,O
8,a,O
8,private,O
8,company,O
8,", ",O
8,that,O
8,the,O
8,company,O
8,is,O
8,limited,O
8,by,O
8, shares,O
8,", ",O
8,and,O
8,the,O
8,situation,O
8,of,O
8,its,O
8,registered,O
8,office,O
8,is,O
8,in,O
8,England,O
8,and,O
8,Wales,O
8,.,O
8,Given,O
8,at,O
8,Companies,O
8,House,O
8,", ",O
8,Cardiff,O
8,", ",O
8,on,O
8,7th,B-DATE
8,November,I-DATE
8,2016,I-DATE
8,The,O
8,above,O
8,information,O
8,wav,O
8,communicated,O
8,by,O
8,electnvnic,O
8,means,O
8,and,O
8,authenticated,O
8,by,O
8,the,O
8,Hegistrar,O
8,of,O
8,Companies,O
8,under,O
8,section,O
8,1115,O
8,of,O
8,the,O
8,Companies,O
8,Act,O
8,2006,O
8,AND,O
8,Companies,O
8,House,O
8,THE,O
8,OFFICIAL,O
8,SEAL,O
8,OF,O
8,THE,O
8,REGISTRAR,O
8,OF,O
8,COMPANIES,O
9,CERTIFICATE,O
9,OF,O
9,INCORPORATION,O
9,OF,O
9,A,O
9,PRIVATE,B-TYPE
9,LIMITED,I-TYPE
9,COMPANY,I-TYPE
9,Company,O
9,Number,O
9,47210,B-NUM
9,The,O
9,Registrar,O
9,of,O
9,Companies,O
9,for,O
9,England,O
9,and,O
9,Wales,O
9,",",O
9,hereby,O
9,centifies,O
9,that,O
9,AD,B-ORG
9,ORIENTAL,I-ORG
9,FOOD,I-ORG
9,LIMITED,I-ORG
9,is,O
9,this,O
9,day,O
9,incorporated,O
9,under,O
9,the,O
9,Companies,O
9,Act,O
9,2006,O
9,as,O
9,a,O
9,private,O
9,company,O
9,", ",O
9,that,O
9,the,O
9,company,O
9,is,O
9,limited,O
9,by,O
9, shares,O
9,", ",O
9,and,O
9,the,O
9,situation,O
9,of,O
9,its,O
9,registered,O
9,office,O
9,is,O
9,in,O
9,England,O
9,and,O
9,Wales,O
9,.,O
9,Given,O
9,at,O
9,Companies,O
9,House,O
9,", ",O
9,Cardiff,O
9,", ",O
9,on,O
9,29th,B-DATE
9,September,I-DATE
9,2017,I-DATE
9,The,O
9,above,O
9,information,O
9,wav,O
9,communicated,O
9,by,O
9,electnvnic,O
9,means,O
9,and,O
9,authenticated,O
9,by,O
9,the,O
9,Hegistrar,O
9,of,O
9,Companies,O
9,under,O
9,section,O
9,1115,O
9,of,O
9,the,O
9,Companies,O
9,Act,O
9,2006,O
9,AND,O
9,Companies,O
9,House,O
9,THE,O
9,OFFICIAL,O
9,SEAL,O
9,OF,O
9,THE,O
9,REGISTRAR,O
9,OF,O
9,COMPANIES,O
10,CERTIFICATE,O
10,OF,O
10,INCORPORATION,O
10,OF,O
10,A,O
10,PRIVATE,B-TYPE
10,LIMITED,I-TYPE
10,COMPANY,I-TYPE
10,Company,O
10,Number,O
10,85600,B-NUM
10,The,O
10,Registrar,O
10,of,O
10,Companies,O
10,for,O
10,England,O
10,and,O
10,Wales,O
10,",",O
10,hereby,O
10,centifies,O
10,that,O
10,ADUCARE,B-ORG
10,LIMITED,I-ORG
10,is,O
10,this,O
10,day,O
10,incorporated,O
10,under,O
10,the,O
10,Companies,O
10,Act,O
10,2006,O
10,as,O
10,a,O
10,private,O
10,company,O
10,", ",O
10,that,O
10,the,O
10,company,O
10,is,O
10,limited,O
10,by,O
10, shares,O
10,", ",O
10,and,O
10,the,O
10,situation,O
10,of,O
10,its,O
10,registered,O
10,office,O
10,is,O
10,in,O
10,England,O
10,and,O
10,Wales,O
10,.,O
10,Given,O
10,at,O
10,Companies,O
10,House,O
10,", ",O
10,Cardiff,O
10,", ",O
10,on,O
10,2nd,B-DATE
10,July,I-DATE
10,2015,I-DATE
10,The,O
10,above,O
10,information,O
10,wav,O
10,communicated,O
10,by,O
10,electnvnic,O
10,means,O
10,and,O
10,authenticated,O
10,by,O
10,the,O
10,Hegistrar,O
10,of,O
10,Companies,O
10,under,O
10,section,O
10,1115,O
10,of,O
10,the,O
10,Companies,O
10,Act,O
10,2006,O
10,AND,O
10,Companies,O
10,House,O
10,THE,O
10,OFFICIAL,O
10,SEAL,O
10,OF,O
10,THE,O
10,REGISTRAR,O
10,OF,O
10,COMPANIES,O
11,CERTIFICATE,O
11,OF,O
11,INCORPORATION,O
11,OF,O
11,A,O
11,PRIVATE,B-TYPE
11,LIMITED,I-TYPE
11,COMPANY,I-TYPE
11,Company,O
11,Number,O
11,56301,B-NUM
11,The,O
11,Registrar,O
11,of,O
11,Companies,O
11,for,O
11,England,O
11,and,O
11,Wales,O
11,",",O
11,hereby,O
11,centifies,O
11,that,O
11,AFTA,B-ORG
11,DARK,I-ORG
11,MUSIC,I-ORG
11,LTD,I-ORG
11,is,O
11,this,O
11,day,O
11,incorporated,O
11,under,O
11,the,O
11,Companies,O
11,Act,O
11,2006,O
11,as,O
11,a,O
11,private,O
11,company,O
11,", ",O
11,that,O
11,the,O
11,company,O
11,is,O
11,limited,O
11,by,O
11, shares,O
11,", ",O
11,and,O
11,the,O
11,situation,O
11,of,O
11,its,O
11,registered,O
11,office,O
11,is,O
11,in,O
11,England,O
11,and,O
11,Wales,O
11,.,O
11,Given,O
11,at,O
11,Companies,O
11,House,O
11,", ",O
11,Cardiff,O
11,", ",O
11,on,O
11,16th,B-DATE
11,May,I-DATE
11,2014,I-DATE
11,The,O
11,above,O
11,information,O
11,wav,O
11,communicated,O
11,by,O
11,electnvnic,O
11,means,O
11,and,O
11,authenticated,O
11,by,O
11,the,O
11,Hegistrar,O
11,of,O
11,Companies,O
11,under,O
11,section,O
11,1115,O
11,of,O
11,the,O
11,Companies,O
11,Act,O
11,2006,O
11,AND,O
11,Companies,O
11,House,O
11,THE,O
11,OFFICIAL,O
11,SEAL,O
11,OF,O
11,THE,O
11,REGISTRAR,O
11,OF,O
11,COMPANIES,O
12,CERTIFICATE,O
12,OF,O
12,INCORPORATION,O
12,OF,O
12,A,O
12,PRIVATE,B-TYPE
12,LIMITED,I-TYPE
12,COMPANY,I-TYPE
12,Company,O
12,Number,O
12,99999,B-NUM
12,The,O
12,Registrar,O
12,of,O
12,Companies,O
12,for,O
12,England,O
12,and,O
12,Wales,O
12,",",O
12,hereby,O
12,centifies,O
12,that,O
12,AIR,B-ORG
12,IMTY,I-ORG
12,LIMITED,I-ORG
12,is,O
12,this,O
12,day,O
12,incorporated,O
12,under,O
12,the,O
12,Companies,O
12,Act,O
12,2006,O
12,as,O
12,a,O
12,private,O
12,company,O
12,", ",O
12,that,O
12,the,O
12,company,O
12,is,O
12,limited,O
12,by,O
12, shares,O
12,", ",O
12,and,O
12,the,O
12,situation,O
12,of,O
12,its,O
12,registered,O
12,office,O
12,is,O
12,in,O
12,England,O
12,and,O
12,Wales,O
12,.,O
12,Given,O
12,at,O
12,Companies,O
12,House,O
12,", ",O
12,Cardiff,O
12,", ",O
12,on,O
12,1st,B-DATE
12,December,I-DATE
12,2010,I-DATE
12,The,O
12,above,O
12,information,O
12,wav,O
12,communicated,O
12,by,O
12,electnvnic,O
12,means,O
12,and,O
12,authenticated,O
12,by,O
12,the,O
12,Hegistrar,O
12,of,O
12,Companies,O
12,under,O
12,section,O
12,1115,O
12,of,O
12,the,O
12,Companies,O
12,Act,O
12,2006,O
12,AND,O
12,Companies,O
12,House,O
12,THE,O
12,OFFICIAL,O
12,SEAL,O
12,OF,O
12,THE,O
12,REGISTRAR,O
12,OF,O
12,COMPANIES,O
13,CERTIFICATE,O
13,OF,O
13,INCORPORATION,O
13,OF,O
13,A,O
13,PRIVATE,B-TYPE
13,LIMITED,I-TYPE
13,COMPANY,I-TYPE
13,Company,O
13,Number,O
13,47910,B-NUM
13,The,O
13,Registrar,O
13,of,O
13,Companies,O
13,for,O
13,England,O
13,and,O
13,Wales,O
13,",",O
13,hereby,O
13,centifies,O
13,that,O
13,AL-AHMED,B-ORG
13,ENTERPRISES,I-ORG
13,(UK),I-ORG
13,LIMITED,I-ORG
13,is,O
13,this,O
13,day,O
13,incorporated,O
13,under,O
13,the,O
13,Companies,O
13,Act,O
13,2006,O
13,as,O
13,a,O
13,private,O
13,company,O
13,", ",O
13,that,O
13,the,O
13,company,O
13,is,O
13,limited,O
13,by,O
13, shares,O
13,", ",O
13,and,O
13,the,O
13,situation,O
13,of,O
13,its,O
13,registered,O
13,office,O
13,is,O
13,in,O
13,England,O
13,and,O
13,Wales,O
13,.,O
13,Given,O
13,at,O
13,Companies,O
13,House,O
13,", ",O
13,Cardiff,O
13,", ",O
13,on,O
13,23rd,B-DATE
13,January,I-DATE
13,2012,I-DATE
13,The,O
13,above,O
13,information,O
13,wav,O
13,communicated,O
13,by,O
13,electnvnic,O
13,means,O
13,and,O
13,authenticated,O
13,by,O
13,the,O
13,Hegistrar,O
13,of,O
13,Companies,O
13,under,O
13,section,O
13,1115,O
13,of,O
13,the,O
13,Companies,O
13,Act,O
13,2006,O
13,AND,O
13,Companies,O
13,House,O
13,THE,O
13,OFFICIAL,O
13,SEAL,O
13,OF,O
13,THE,O
13,REGISTRAR,O
13,OF,O
13,COMPANIES,O
14,CERTIFICATE,O
14,OF,O
14,INCORPORATION,O
14,OF,O
14,A,O
14,PRIVATE,B-TYPE
14,LIMITED,I-TYPE
14,COMPANY,I-TYPE
14,Company,O
14,Number,O
14,25990,B-NUM
14,The,O
14,Registrar,O
14,of,O
14,Companies,O
14,for,O
14,England,O
14,and,O
14,Wales,O
14,",",O
14,hereby,O
14,centifies,O
14,that,O
14,ALEXANDER,B-ORG
14,POLLOCK,I-ORG
14,LIMITED,I-ORG
14,is,O
14,this,O
14,day,O
14,incorporated,O
14,under,O
14,the,O
14,Companies,O
14,Act,O
14,2006,O
14,as,O
14,a,O
14,private,O
14,company,O
14,", ",O
14,that,O
14,the,O
14,company,O
14,is,O
14,limited,O
14,by,O
14, shares,O
14,", ",O
14,and,O
14,the,O
14,situation,O
14,of,O
14,its,O
14,registered,O
14,office,O
14,is,O
14,in,O
14,England,O
14,and,O
14,Wales,O
14,.,O
14,Given,O
14,at,O
14,Companies,O
14,House,O
14,", ",O
14,Cardiff,O
14,", ",O
14,on,O
14,30th,B-DATE
14,December,I-DATE
14,1969,I-DATE
14,The,O
14,above,O
14,information,O
14,wav,O
14,communicated,O
14,by,O
14,electnvnic,O
14,means,O
14,and,O
14,authenticated,O
14,by,O
14,the,O
14,Hegistrar,O
14,of,O
14,Companies,O
14,under,O
14,section,O
14,1115,O
14,of,O
14,the,O
14,Companies,O
14,Act,O
14,2006,O
14,AND,O
14,Companies,O
14,House,O
14,THE,O
14,OFFICIAL,O
14,SEAL,O
14,OF,O
14,THE,O
14,REGISTRAR,O
14,OF,O
14,COMPANIES,O
15,CERTIFICATE,O
15,OF,O
15,INCORPORATION,O
15,OF,O
15,A,O
15,PRIVATE,B-TYPE
15,LIMITED,I-TYPE
15,COMPANY,I-TYPE
15,Company,O
15,Number,O
15,73110,B-NUM
15,The,O
15,Registrar,O
15,of,O
15,Companies,O
15,for,O
15,England,O
15,and,O
15,Wales,O
15,",",O
15,hereby,O
15,centifies,O
15,that,O
15,ALLIANCE,B-ORG
15,ADVERTISING,I-ORG
15,&,I-ORG
15,MARKETING,I-ORG
15,LTD,I-ORG
15,is,O
15,this,O
15,day,O
15,incorporated,O
15,under,O
15,the,O
15,Companies,O
15,Act,O
15,2006,O
15,as,O
15,a,O
15,private,O
15,company,O
15,", ",O
15,that,O
15,the,O
15,company,O
15,is,O
15,limited,O
15,by,O
15, shares,O
15,", ",O
15,and,O
15,the,O
15,situation,O
15,of,O
15,its,O
15,registered,O
15,office,O
15,is,O
15,in,O
15,England,O
15,and,O
15,Wales,O
15,.,O
15,Given,O
15,at,O
15,Companies,O
15,House,O
15,", ",O
15,Cardiff,O
15,", ",O
15,on,O
15,30th,B-DATE
15,May,I-DATE
15,2008,I-DATE
15,The,O
15,above,O
15,information,O
15,wav,O
15,communicated,O
15,by,O
15,electnvnic,O
15,means,O
15,and,O
15,authenticated,O
15,by,O
15,the,O
15,Hegistrar,O
15,of,O
15,Companies,O
15,under,O
15,section,O
15,1115,O
15,of,O
15,the,O
15,Companies,O
15,Act,O
15,2006,O
15,AND,O
15,Companies,O
15,House,O
15,THE,O
15,OFFICIAL,O
15,SEAL,O
15,OF,O
15,THE,O
15,REGISTRAR,O
15,OF,O
15,COMPANIES,O
16,CERTIFICATE,O
16,OF,O
16,INCORPORATION,O
16,OF,O
16,A,O
16,PRIVATE,B-TYPE
16,LIMITED,I-TYPE
16,COMPANY,I-TYPE
16,Company,O
16,Number,O
16,55900,B-NUM
16,The,O
16,Registrar,O
16,of,O
16,Companies,O
16,for,O
16,England,O
16,and,O
16,Wales,O
16,",",O
16,hereby,O
16,centifies,O
16,that,O
16,ALTON,B-ORG
16,BROOK,I-ORG
16,HOLIDAYS,I-ORG
16,LTD,I-ORG
16,is,O
16,this,O
16,day,O
16,incorporated,O
16,under,O
16,the,O
16,Companies,O
16,Act,O
16,2006,O
16,as,O
16,a,O
16,private,O
16,company,O
16,", ",O
16,that,O
16,the,O
16,company,O
16,is,O
16,limited,O
16,by,O
16, shares,O
16,", ",O
16,and,O
16,the,O
16,situation,O
16,of,O
16,its,O
16,registered,O
16,office,O
16,is,O
16,in,O
16,England,O
16,and,O
16,Wales,O
16,.,O
16,Given,O
16,at,O
16,Companies,O
16,House,O
16,", ",O
16,Cardiff,O
16,", ",O
16,on,O
16,20th,B-DATE
16,December,I-DATE
16,2012,I-DATE
16,The,O
16,above,O
16,information,O
16,wav,O
16,communicated,O
16,by,O
16,electnvnic,O
16,means,O
16,and,O
16,authenticated,O
16,by,O
16,the,O
16,Hegistrar,O
16,of,O
16,Companies,O
16,under,O
16,section,O
16,1115,O
16,of,O
16,the,O
16,Companies,O
16,Act,O
16,2006,O
16,AND,O
16,Companies,O
16,House,O
16,THE,O
16,OFFICIAL,O
16,SEAL,O
16,OF,O
16,THE,O
16,REGISTRAR,O
16,OF,O
16,COMPANIES,O
17,CERTIFICATE,O
17,OF,O
17,INCORPORATION,O
17,OF,O
17,A,O
17,PRIVATE,B-TYPE
17,LIMITED,I-TYPE
17,COMPANY,I-TYPE
17,Company,O
17,Number,O
17,33140,B-NUM
17,The,O
17,Registrar,O
17,of,O
17,Companies,O
17,for,O
17,England,O
17,and,O
17,Wales,O
17,",",O
17,hereby,O
17,centifies,O
17,that,O
17,AMGLO,B-ORG
17,ELECTRICAL,I-ORG
17,SERVICES,I-ORG
17,LIMITED,I-ORG
17,is,O
17,this,O
17,day,O
17,incorporated,O
17,under,O
17,the,O
17,Companies,O
17,Act,O
17,2006,O
17,as,O
17,a,O
17,private,O
17,company,O
17,", ",O
17,that,O
17,the,O
17,company,O
17,is,O
17,limited,O
17,by,O
17, shares,O
17,", ",O
17,and,O
17,the,O
17,situation,O
17,of,O
17,its,O
17,registered,O
17,office,O
17,is,O
17,in,O
17,England,O
17,and,O
17,Wales,O
17,.,O
17,Given,O
17,at,O
17,Companies,O
17,House,O
17,", ",O
17,Cardiff,O
17,", ",O
17,on,O
17,13th,B-DATE
17,February,I-DATE
17,2013,I-DATE
17,The,O
17,above,O
17,information,O
17,wav,O
17,communicated,O
17,by,O
17,electnvnic,O
17,means,O
17,and,O
17,authenticated,O
17,by,O
17,the,O
17,Hegistrar,O
17,of,O
17,Companies,O
17,under,O
17,section,O
17,1115,O
17,of,O
17,the,O
17,Companies,O
17,Act,O
17,2006,O
17,AND,O
17,Companies,O
17,House,O
17,THE,O
17,OFFICIAL,O
17,SEAL,O
17,OF,O
17,THE,O
17,REGISTRAR,O
17,OF,O
17,COMPANIES,O
18,CERTIFICATE,O
18,OF,O
18,INCORPORATION,O
18,OF,O
18,A,O
18,PRIVATE,B-TYPE
18,LIMITED,I-TYPE
18,COMPANY,I-TYPE
18,Company,O
18,Number,O
18,52230,B-NUM
